patent,prim,class,subclass
08342171,13,12820018,,
08342172,12,12820023,,
08342173,11,12820024,,
08342174,12,12820315,,
08342175,12,12820315,,
08342176,12,12820315,,
08342177,12,12820417,,
08342178,12,12820421,,
08342179,12,12820615,,
08342180,12,12820617,,
08342181,12,12820712,,
08342182,11,12820714,,
08342183,11,128898,,
08342184,13,131271,,
08342185,12,131329,,
08342186,12,"132 53",,
08342187,12,1321191,,
08342188,12,132142,,
08342189,12,132200,,
08342190,13,132200,,
08342191,12,132211,,
08342192,12,132300,,
08342193,10,132323,,
08342194,12,"134 48",,
08342195,12,134123,,
08342196,13,"135 73",,
08342197,13,135125,,
08342198,12,"137 13",,
08342199,12,"137 1504",,
08342200,12,13731506,,
08342201,12,13750511,,
08342202,12,137515,,
08342203,13,13753317,,
08342204,12,13762547,,
08342205,12,13762548,,
08342206,12,13763015,,
08342207,12,137833,,
08342208,12,137885,,
08342209,12,"138 89",,
08342210,12,"138 89",,
08342211,12,138106,,
08342212,11,138112,,
08342213,12,139384R,,
08342214,12,"141 85",,
08342215,12,141329,,
08342216,12,152454,,
08342217,12,152503,,
08342218,12,1563796,,
08342219,13,156387,,
08342220,12,156397,,
08342221,13,156494,,
08342222,12,"157  11",,
08342223,12,"157  128",,
08342224,13,"160 77",,
08342225,11,"160 87",,
08342226,12,16037021,,
08342227,12,16037022,,
08342228,12,"164 91",,
08342229,12,"164 98",,
08342230,12,164113,,
08342231,13,164413,,
08342232,12,164454,,
08342233,13,"165 47",,
08342234,12,"165 83",,
08342235,12,165176,,
08342236,12,"166 7751",,
08342237,13,"166 811",,
08342238,12,166105,,
08342239,13,166187,,
08342240,12,166205,,
08342241,12,1662526,,
08342242,12,1662551,,
08342243,12,166285,,
08342244,13,166285,,
08342245,13,166296,,
08342246,13,1663084,,
08342247,11,1663328,,
08342248,12,166344,,
08342249,12,166358,,
08342250,12,166380,,
08342251,12,166386,,
08342252,12,"169 26",,
08342253,13,"172  1",,
08342254,13,172264,,
