"Application ID",Country,Classification,Info
29398121,US,"211 89",
29398121,US,2111269,
29398121,US,2111281,
29398121,US,211134,
29398121,US,211149,
29398121,US,211150,
29398121,US,211153,
29398121,US,211167,
29398121,US,2111811,
29398121,US,211201,
29398121,US,"108 99",
29398121,US,3122571,
29412851,US,"D 6407",
29412851,US,"D 6470",
29412851,US,"D 6476",
29412851,US,"D 6511",
29412851,US,"D 6396",
29412851,US,"D 6397",
29412851,US,"D 6449",
29412851,US,"D 6450",
29412851,US,"D 6454-469",unstructured
29412851,US,"211  1",
29412851,US,"211  4",
29412851,US,"211 10",
29412851,US,"211 131",
29412851,US,"211 42",
29412851,US,"211 491",
29412851,US,"211 50",
29412851,US,"211 592",
29412851,US,"211 593",
29412851,US,"211 7101",
29412851,US,"211 72",
29412851,US,"211 79",
29412851,US,"211 851",
29412851,US,"211 856",
29412851,US,"211 8601",
29412851,US,2111261-1263,unstructured
29412851,US,21112615,
29412851,US,2111336,
29412851,US,211149,
29412851,US,211189,
29412851,US,211195,
29412851,US,"D19 90",
29390041,US,"D 6462",
29390041,US,"D 6467-468",unstructured
29390041,US,"D 6473-474",unstructured
29390041,US,"D 6574",
29390041,US,"D 9456-457",unstructured
29390041,US,"211 8518",
29390041,US,"211 8801",
29390041,US,211134,
29390041,US,211188,
29390041,US,"D19 75",
29412765,US,"D 6334-336",unstructured
29412765,US,"D 6364",
29412765,US,"D 6365",
29412765,US,"D 6366",
29412765,US,"D 6367",
29412765,US,"D 6368",
29412765,US,"D 6374",
29412765,US,"D 6375",
29412765,US,"D 6379",
29412765,US,"D 6380",
29412765,US,"D 6495",
29412765,US,"D 6500-502",unstructured
29412765,US,29721613,
29412765,US,297248,
29412765,US,297331,
29412765,US,297332,
29412765,US,297333,
29412765,US,297335,
29412765,US,29745218,
29412765,US,2974522,
29412765,US,2974631,
29412765,US,2481881,
29419143,US,"D 6334-336",unstructured
29419143,US,"D 6364",
29419143,US,"D 6365",
29419143,US,"D 6366",
29419143,US,"D 6367",
29419143,US,"D 6368",
29419143,US,"D 6374",
29419143,US,"D 6379",
29419143,US,"D 6380",
29419143,US,"D 6500-502",unstructured
29419143,US,2972844,
29419143,US,2972845,
29419143,US,2972846,
29419143,US,2972847,
29419143,US,2972848,
29419143,US,29745229,
29419143,US,2974523,
29419143,US,29745256,
29419250,US,"D 6334-336",unstructured
29419250,US,"D 6371-373",unstructured
29419250,US,"D 6374",
29419250,US,"D 6376",
29419250,US,"D 6379",
29419250,US,"D 6380",
29419250,US,"D 6500-502",unstructured
29419250,US,297239,
29419250,US,2974451,
29419250,US,2974461,
29419250,US,29745218,
29419250,US,2974522,
29419250,US,29745221,
29419250,US,29745229,
29419250,US,29745246,
29423283,US,"D 6334-336",unstructured
29423283,US,"D 6366",
29423283,US,"D 6371-373",unstructured
29423283,US,"D 6374",
29423283,US,"D 6376",
29423283,US,"D 6379",
29423283,US,"D 6380",
29423283,US,"D 6500-502",unstructured
29423283,US,297239,
29423283,US,2974451,
29423283,US,2974461,
29423283,US,29745218,
29423283,US,2974522,
29423283,US,29745221,
29423283,US,29745229,
29423283,US,29745246,
29399616,US,"D 6334-336",unstructured
29399616,US,"D 6349",
29399616,US,"D 6354",
29399616,US,"D 6355",
29399616,US,"D 6360",
29399616,US,"D 6364",
29399616,US,"D 6366",
29399616,US,"D 6367",
29399616,US,"D 6374",
29399616,US,"D 6500",
29399616,US,"D 6501",
29399616,US,"D 6502",
29399616,US,297156,
29399616,US,2971951,
29399616,US,29719511,
29399616,US,29721911,
29399616,US,297311,
29399616,US,29745221,
29399616,US,29745223,
29399616,US,"482 57",
29399616,US,D21663,
29399616,US,D21664,
29399622,US,"D 6334-336",unstructured
29399622,US,"D 6349",
29399622,US,"D 6354",
29399622,US,"D 6355",
29399622,US,"D 6360",
29399622,US,"D 6364",
29399622,US,"D 6366",
29399622,US,"D 6367",
29399622,US,"D 6374",
29399622,US,"D 6500",
29399622,US,"D 6501",
29399622,US,"D 6502",
29399622,US,297156,
29399622,US,2971951,
29399622,US,29719511,
29399622,US,29721911,
29399622,US,297311,
29399622,US,29745221,
29399622,US,29745223,
29399622,US,"482 57",
29399622,US,D21663,
29399622,US,D21664,
29404115,US,"D 6334-336",unstructured
29404115,US,"D 6364",
29404115,US,"D 6365",
29404115,US,"D 6366",
29404115,US,"D 6367",
29404115,US,"D 6369",
29404115,US,"D 6374",
29404115,US,"D 6379",
29404115,US,"D 6380",
29404115,US,"D 6500-502",unstructured
29404115,US,2972844,
29404115,US,297396,
29404115,US,29745213,
29404115,US,29745229,
29404115,US,2974523,
29404115,US,29745246,
29404115,US,29745256,
29404115,US,29745264,
29404716,US,"D 6334-336",unstructured
29404716,US,"D 6364",
29404716,US,"D 6365",
29404716,US,"D 6366",
29404716,US,"D 6367",
29404716,US,"D 6374",
29404716,US,"D 6379",
29404716,US,"D 6380",
29404716,US,"D 6500-502",unstructured
29404716,US,2972844,
29404716,US,29745213,
29404716,US,29745218,
29404716,US,29745221,
29404716,US,29745229,
29404716,US,2974523,
29404716,US,29745256,
29404716,US,2974631,
29424432,US,"D 6334-336",unstructured
29424432,US,"D 6360-369",unstructured
29424432,US,"D 6372-380",unstructured
29424432,US,"D 6498",
29424432,US,"D 6500-502",unstructured
29424432,US,"D 6601",
29424432,US,D21695,
29424432,US,29722811,
29424432,US,2972841-2845,unstructured
29424432,US,297291,
29424432,US,297297,
29424432,US,2973011,
29424432,US,297391,
29424432,US,2974112,
29424432,US,29741127-41129,unstructured
29424432,US,29741136,
29424432,US,29744011,
29424432,US,29745213-45219,unstructured
29424432,US,29745221,
29424432,US,29745229,
29424432,US,2974523,
29424432,US,29745256,
29424432,US,29745264,
29388327,US,"D 6466",
29388327,US,"D 6467",
29388327,US,"D 6509",
29388327,US,"D 6396",
29388327,US,"D 6468",
29388327,US,"D 6477",
29388327,US,"211 9401",
29388327,US,"211 9402",
29388327,US,211189,
29388327,US,D25138,
29388327,US,D25125,
29392526,US,"D 6515-523",unstructured
29392526,US,206225,
29392526,US,206233,
29392526,US,206389,
29392526,US,206391,
29392526,US,"211 131",
29392526,US,222173,
29392526,US,222180,
29392526,US,"221 26",
29392526,US,"221 33",
29392526,US,221282-283,unstructured
29392526,US,"221 61",
29392526,US,242270,
29392526,US,242590,
29392526,US,2483091,
29392526,US,2483092,
29392526,US,248905,
29392526,US,225106,
29427797,US,"D 6553",
29427797,US,"D 6567",
29427797,US,"D 6569-572",unstructured
29427797,US,2483091,
29427797,US,"D 8345",
