patent,prim,class,subclass
08341766,0,"  2"," 93","  2 93"
08341766,0,"  2"," 98","  2 98"
08341767,1,"  2",161.1,"  21611"
08341768,1,"  2",161.7,"  21617"
08341768,0,"  2",161.6,"  21616"
08341768,0,"  2",123,"  2123"
08341768,0,"  2",128,"  2128"
08341768,0,"  2",160,"  2160"
08341769,1,"  2",269,"  2269"
08341769,0,"  2"," 84","  2 84"
08341769,0,"  2"," 85","  2 85"
08341769,0,"  2"," 86","  2 86"
08341769,0,"  2",108,"  2108"
08341769,0,"  2",125,"  2125"
08341769,0,"  2"," 93","  2 93"
08341770,1,"  2",411,"  2411"
08341770,0,"  2",410,"  2410"
08341770,0,"  2",416,"  2416"
08341770,0,"  2",468,"  2468"
08341770,0,"  2"," 44","  2 44"
08341770,0,"  2"," 45","  2 45"
08341770,0,"  2",421,"  2421"
08341771,1,"  2",424,"  2424"
08341771,0,"  2","  6.3","  2  63"
08341771,0,"  2"," 15","  2 15"
08341772,1,"  2",460,"  2460"
08341772,0,"  2",461,"  2461"
08341773,1,"  4",431,"  4431"
08341774,1,"  4",557,"  4557"
08341774,0,"  4",601,"  4601"
08341774,0,"  4",608,"  4608"
08341774,0,"  4",607,"  4607"
08341774,0,"  4",558,"  4558"
08341775,1,"  4",608,"  4608"
08341775,0,"  4",558,"  4558"
08341775,0,"  4",610,"  4610"
08341775,0,248,263,248263
08341775,0,248,264,248264
08341775,0,211,105.3,2111053
08341775,0,160,335,160335
08341776,1,"  4",622,"  4622"
08341776,0,297,423.38,29742338
08341777,1,"  5",424,"  5424"
08341777,0,"  5",600,"  5600"
08341777,0,"  5"," 86.1","  5 861"
08341777,0," 16"," 18. R"," 16 18 R"
08341777,0," 16"," 35. R"," 16 35 R"
08341778,1,"  5",600,"  5600"
08341778,0,"  5",426,"  5426"
08341779,1,"  5",618,"  5618"
08341779,0,"  5",611,"  5611"
08341779,0,"  5"," 86.1","  5 861"
08341780,1,"  5",633,"  5633"
08341780,0,"  5",630,"  5630"
08341781,1,"  5",655,"  5655"
08341781,0,"  5"," 99.1","  5 991"
08341782,1,"  5",655,"  5655"
08341782,0,"  5",633,"  5633"
08341782,0,"  5",731,"  5731"
08341782,0,297,452.11,29745211
08341782,0,297,452.17,29745217
08341783,1,"  5",655,"  5655"
08341783,0,"  5",484,"  5484"
08341783,0,"  5",485,"  5485"
08341783,0,"  5",417,"  5417"
08341784,1,"  5",655.3,"  56553"
08341784,0,"  5",636,"  5636"
08341784,0,"  5",644,"  5644"
08341784,0,"  5",645,"  5645"
08341784,0,"  5",640,"  5640"
08341785,1,"  5",663,"  5663"
08341785,0,"  5",946,"  5946"
08341785,0,"  5",424,"  5424"
08341785,0,"  5"," 93.1","  5 931"
08341786,1,"  5",713,"  5713"
08341786,0,"  5",655.3,"  56553"
08341786,0,700,301,700301
08341787,1,"  8",159,"  8159"
08341787,0,"  8",158,"  8158"
08341787,0," 68","  3. R"," 68  3 R"
08341788,1," 14"," 77.3"," 14 773"
08341788,0," 14"," 75"," 14 75"
08341788,0," 14"," 77.1"," 14 771"
08341789,1," 15","  1.7"," 15  17"
08341789,0,210,167.16,21016716
08341790,1," 15"," 22.1"," 15 221"
08341790,0," 15"," 22.2"," 15 222"
08341791,1," 15"," 22.1"," 15 221"
